Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),
0,-0.1569,1.3,
0.002,-0.1612,1.4,
0.004,-0.1636,1.2,
0.006,-0.1642,1.2,
0.008,-0.1746,1.2,
0.01,-0.1831,1.2,
0.012,-0.1868,1.2,
0.014,-0.1995,1,
0.016,-0.2209,0.3,
0.018,-0.2722,0,
0.02,-0.3588,0,
0.022,-0.4778,-0.1,
0.024,-0.6402,-0.2,
0.026,-0.8459,-0.3,
0.028,-1.0894,-0.2,
0.03,-1.3714,-0.2,
0.032,-1.6998,-0.1,
0.034,-2.0617,0,
0.036,-2.4554,0,
0.038,-2.8851,0,
0.04,-3.338,0.2,
0.042,-3.8207,0.3,
0.044,-4.3218,0.3,
0.046,-4.8406,0.4,
0.048,-5.3826,0.4,
0.05,-5.9429,0.4,
0.052,-6.5252,0.4,
0.054,-7.1246,0.3,
0.056,-7.741,0.3,
0.058,-8.3825,0.3,
0.06,-9.0539,0.3,
0.062,-9.7534,0.2,
0.064,-10.4846,0.2,
0.066,-11.2481,0.1,
0.068,-12.0489,0.2,
0.07,-12.8619,0.2,
0.072,-13.7072,0.2,
0.074,-14.5623,0,
0.076,-15.4321,0,
0.078,-16.3171,0,
0.08,-17.2314,0,
0.082,-18.1603,0,
0.084,-19.118,1.1,
0.086,-20.0707,1.4,
0.088,-21.0241,1.6,
0.09,-21.9903,1.7,
0.092,-22.9553,2.1,
0.094,-23.905,2.3,
0.096,-24.8217,2.5,
0.098,-25.6835,2.6,
0.1,-26.4953,2.6,
0.102,-27.2607,2.5,
0.104,-27.9724,2.5,
0.106,-28.6474,2.4,
0.108,-29.2871,2.4,
0.11,-29.8944,2.2,
0.112,-30.4754,2.1,
0.114,-31.0351,2,
0.116,-31.5783,2,
0.118,-32.1069,1.9,
0.12,-32.6135,2,
0.122,-33.1097,1.8,
0.124,-33.5851,1.9,
0.126,-34.0356,1.8,
0.128,-34.4677,1.8,
0.13,-34.8754,1.9,
0.132,-35.2654,1.9,
0.134,-35.6323,1.9,
0.136,-35.9728,1.9,
0.138,-36.2945,1.9,
0.14,-36.5917,1.8,
0.142,-36.8664,1.8,
0.144,-37.124,1.9,
0.146,-37.3535,1.9,
0.148,-37.564,1.9,
0.15,-37.7526,2,
0.152,-37.9162,2,
0.154,-38.0566,2,
0.156,-38.1744,2,
0.158,-38.269,2.1,
0.16,-38.3398,2,
0.162,-38.3856,2.1,
0.164,-38.413,1,
0.166,-38.4313,0.9,
0.168,-38.4631,0.9,
0.17,-38.5009,0.7,
0.172,-38.5491,0.6,
0.174,-38.6089,0.5,
0.176,-38.6816,0.4,
0.178,-38.7737,0.3,
0.18,-38.8836,0.1,
0.182,-39.0179,0.1,
0.184,-39.1754,0,
0.186,-39.3615,0,
0.188,-39.5727,0,
0.19,-39.8101,0,
0.192,-40.0744,0,
0.194,-40.3668,0,
0.196,-40.6878,0.1,
0.198,-41.029,0.1,
0.2,-41.3989,0.2,
0.202,-41.7962,0.3,
0.204,-42.2112,0.3,
0.206,-42.6476,0.3,
0.208,-43.1115,0.4,
0.21,-43.5925,0.4,
0.212,-44.0881,0.4,
0.214,-44.6008,0.4,
0.216,-45.1287,0.4,
0.218,-45.6701,0.3,
0.22,-46.2261,0.4,
0.222,-46.7962,0.3,
0.224,-47.3803,0.4,
0.226,-47.9797,0.3,
0.228,-48.5809,1.2,
0.23,-49.1863,1.5,
0.232,-49.7753,-2.4,
0.234,-50.3503,0.6,
0.236,-50.9106,-0.1,
0.238,-51.4617,1.3,
0.24,-52.0043,1.9,
0.242,-52.5341,-0.4,
0.244,-53.0432,1.3,
0.246,-53.5284,0.7,
0.248,-53.9849,0.5,
0.25,-54.4134,0.1,
0.252,-54.8156,0,
0.254,-55.1898,0,
0.256,-55.5377,-0.1,
0.258,-55.8624,-0.3,
0.26,-56.1578,-0.3,
0.262,-56.43,-0.3,
0.264,-56.6821,-0.3,
0.266,-56.9134,-0.5,
0.268,-57.1124,-18.3,
0.27,-57.2051,-50.5,
0.272,-57.1667,-19.8,
0.274,-57.1118,-8.3,
0.276,-57.0934,-5.5,
0.278,-57.1111,-11,
0.28,-57.1362,-18.7,
0.282,-57.1478,-19.3,
0.284,-57.1423,-16.3,
0.286,-57.1392,-17.6,
0.288,-57.1337,-18.6,
0.29,-57.1331,-18.8,
0.292,-57.1301,-17.4,
0.294,-57.1258,-15.3,
0.296,-57.1209,-13.2,
0.298,-57.1111,-11,
0.3,-57.1038,-9.7,
0.302,-57.0971,-7.8,
0.304,-57.0837,-4.3,
0.306,-57.0629,-1.2,
0.308,-57.0287,0.1,
0.31,-56.986,0.3,
0.312,-56.9146,0.7,
0.314,-56.8145,1.2,
0.316,-56.6802,1.4,
0.318,-56.5002,1.5,
0.32,-56.2658,1.7,
0.322,-55.9863,1.9,
0.324,-55.6542,2.1,
0.326,-55.2734,2.1,
0.328,-54.84,2.3,
0.33,-54.3591,2.2,
0.332,-53.8317,2.2,
0.334,-53.2702,0,
0.336,-52.6684,1.1,
0.338,-52.0281,-0.6,
0.34,-51.358,6.7,
0.342,-50.6634,1.5,
0.344,-49.9517,1,
0.346,-49.2266,1.2,
0.348,-48.4991,0.5,
0.35,-47.7715,-0.1,
0.352,-47.0635,0,
0.354,-46.3793,-0.1,
0.356,-45.7177,-0.2,
0.358,-45.0829,-0.2,
0.36,-44.4787,-0.3,
0.362,-43.9031,-0.3,
0.364,-43.3587,-0.4,
0.366,-42.8417,-0.3,
0.368,-42.3736,-0.3,
0.37,-41.9372,-0.3,
0.372,-41.5392,-0.2,
0.374,-41.1767,-0.2,
0.376,-40.8502,-0.1,
0.378,-40.5535,0,
0.38,-40.2807,0,
0.382,-40.0341,0,
0.384,-39.8144,0,
0.386,-39.6179,0.2,
0.388,-39.4409,0.2,
0.39,-39.2785,0.2,
0.392,-39.1387,0.3,
0.394,-39.0197,0.3,
0.396,-38.9123,0.3,
0.398,-38.8299,0.2,
0.4,-38.7585,0.2,
0.402,-38.7121,0.2,
0.404,-38.681,0.1,
0.406,-38.6688,0.1,
0.408,-38.6743,0.8,
0.41,-38.6834,0.7,
0.412,-38.7054,0.6,
0.414,-38.7335,0.4,
0.416,-38.7811,0.3,
0.418,-38.847,0.2,
0.42,-38.9282,0.1,
0.422,-39.0368,0.1,
0.424,-39.165,0,
0.426,-39.3218,0,
0.428,-39.5013,0,
0.43,-39.7094,0,
0.432,-39.9407,0,
0.434,-40.2044,0,
0.436,-40.4931,0,
0.438,-40.8135,0,
0.44,-41.1596,0,
0.442,-41.5313,0,
0.444,-41.9293,0.1,
0.446,-42.351,0.1,
0.448,-42.796,0.2,
0.45,-43.2659,0.3,
0.452,-43.7518,0.3,
0.454,-44.259,0.3,
0.456,-44.779,0.3,
0.458,-45.3137,0.3,
0.46,-45.8611,0.3,
0.462,-46.4239,0.3,
0.464,-47.0025,0.3,
0.466,-47.5921,0.2,
0.468,-48.1835,0.3,
0.47,-48.8018,1.3,
0.472,-49.3975,-1.6,
0.474,-49.9798,-0.5,
0.476,-50.5505,1.9,
0.478,-51.1053,0.5,
0.48,-51.6516,1.4,
0.482,-52.1917,1.6,
0.484,-52.7166,-0.1,
0.486,-53.2104,-0.2,
0.488,-53.6822,0.2,
0.49,-54.1253,0.9,
0.492,-54.5428,0,
0.494,-54.9334,0,
0.496,-55.2966,-0.1,
0.498,-55.6329,-0.3,
0.5,-55.9503,-0.3,
0.502,-56.2377,-0.2,
0.504,-56.5057,-0.3,
0.506,-56.7523,-0.3,
0.508,-56.9775,-0.7,
0.51,-57.1581,-35.7,
0.512,-57.2027,-45.7,
0.514,-57.1435,-14.1,
0.516,-57.0941,-6.1,
0.518,-57.0916,-6,
0.52,-57.1185,-13.2,
0.522,-57.1423,-20,
0.524,-57.1472,-18.6,
0.526,-57.1398,-16.2,
0.528,-57.1392,-17.9,
0.53,-57.1368,-18.3,
0.532,-57.1337,-17.9,
0.534,-57.1313,-16.9,
0.536,-57.1252,-14.3,
0.538,-57.1148,-12.1,
0.54,-57.1081,-10.2,
0.542,-57.1008,-9,
0.544,-57.0916,-6.6,
0.546,-57.0739,-2.9,
0.548,-57.0489,-0.7,
0.55,-57.0129,0.1,
0.552,-56.9622,0.5,
0.554,-56.8835,0.6,
0.556,-56.7767,1,
0.558,-56.6296,1.4,
0.56,-56.4337,1.6,
0.562,-56.1883,1.8,
0.564,-55.8935,2,
0.566,-55.5511,2,
0.568,-55.1544,2.1,
0.57,-54.7045,2.3,
0.572,-54.2034,2.2,
0.574,-53.6675,2.2,
0.576,-53.0877,0,
0.578,-52.4737,2.7,
0.58,-51.8273,-0.6,
0.582,-51.1437,7,
0.584,-50.4473,1.9,
0.586,-49.7296,0.4,
0.588,-48.9971,1.3,
0.59,-48.272,-0.1,
0.592,-47.5616,0,
0.594,-46.8652,0,
0.596,-46.1883,-0.1,
0.598,-45.5352,-0.2,
0.6,-44.9114,-0.2,
0.602,-44.3121,-0.2,
0.604,-43.7487,-0.3,
0.606,-43.2134,-0.5,
0.608,-42.7142,-0.4,
0.61,-42.2564,-0.3,
0.612,-41.8359,-0.3,
0.614,-41.4471,-0.2,
0.616,-41.0919,-0.2,
0.618,-40.7641,-0.1,
0.62,-40.4736,0,
0.622,-40.2062,0,
0.624,-39.9664,0,
0.626,-39.7491,0,
0.628,-39.5562,0.1,
0.63,-39.3768,0.1,
0.632,-39.226,0.2,
0.634,-39.093,0.2,
0.636,-38.9739,0.2,
0.638,-38.8781,0.2,
0.64,-38.7975,0.2,
0.642,-38.7359,0.2,
0.644,-38.6932,0.2,
0.646,-38.67,0.1,
0.648,-38.673,0.3,
0.65,-38.6773,0.8,
0.652,-38.6907,0.6,
0.654,-38.7127,0.5,
0.656,-38.7481,0.4,
0.658,-38.8006,0.2,
0.66,-38.8653,0.1,
0.662,-38.9593,0.1,
0.664,-39.074,0,
0.666,-39.2101,0,
0.668,-39.3713,0,
0.67,-39.558,0,
0.672,-39.7741,0,
0.674,-40.0189,0,
0.676,-40.2911,0,
0.678,-40.592,0,
0.68,-40.9204,0,
0.682,-41.2762,0,
0.684,-41.6577,0.1,
