Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.3349,-5.2,-1.672,-0.005955,
0.005,-0.2294,-4.4,9.135,0.033066,
0.01,-0.1477,-5.8,-16.022,-0.014133,
0.015,-0.1654,-5.3,3.369,0.002133,
0.02,-0.1641,-4.8,-0.81,-0.002666,
0.025,-0.1617,-5.1,1.053,0.002133,
0.03,-0.166,-5.1,0.566,-0.004888,
0.035,-0.1648,-5.1,3.361,0.000533,
0.04,-0.1648,-5.1,-2.656,0,
0.045,-0.1648,-5.2,3.338,0.000533,
0.05,-0.1696,-5.1,-2.131,-0.0032,
0.055,-0.1678,-5.2,2.435,0.002755,
0.06,-0.177,-5.2,-2.707,-0.003288,
0.065,-0.186,-5.2,4.51,-0.000533,
0.07,-0.197,-5.2,-2.46,-0.005422,
0.075,-0.2049,-5.3,2.589,0.001688,
0.08,-0.2532,-5.4,-4.473,-0.016266,
0.085,-0.3435,-5.4,1.377,-0.023911,
0.09,-0.4686,-5.3,-2.894,-0.030933,
0.095,-0.6108,-5.3,-0.999,-0.030933,
0.1,-0.7732,-5.2,-2.67,-0.034755,
0.105,-0.9331,-5.2,3.642,-0.030933,
0.11,-1.0961,-5.2,0.977,-0.032622,
0.115,-1.2505,-5.1,-0.379,-0.029333,
0.12,-1.4037,-5.2,0.791,-0.029333,
0.125,-1.5563,-5.2,-0.441,-0.030399,
0.13,-1.7162,-5.2,-2.335,-0.034755,
0.135,-1.8859,-5.2,1.265,-0.036977,
0.14,-2.058,-5.2,-3.297,-0.038044,
0.145,-2.246,-5.2,4.344,-0.035288,
0.15,-2.4504,-5.2,-5.054,-0.043377,
0.155,-2.6634,-5.2,-0.635,-0.044977,
0.16,-2.8819,-5.2,-3.745,-0.046577,
0.165,-3.1072,-5.2,-0.263,-0.044533,
0.17,-3.3422,-5.2,-4.076,-0.048888,
0.175,-3.5857,-5.2,0.723,-0.046666,
0.18,-3.8323,-5.2,-3.118,-0.052622,
0.185,-4.0715,-5.3,1.033,-0.046666,
0.19,-4.3297,-5.2,-0.215,-0.051555,
0.195,-4.597,-5.2,1.508,-0.051555,
0.2,-4.8778,-5.2,-2.442,-0.055377,
0.205,-5.1671,-5.2,0.096,-0.054222,
0.21,-5.4668,-5.2,1.215,-0.062933,
0.215,-5.7652,-5.2,2.443,-0.058577,
0.22,-6.0759,-5.2,-2.845,-0.064533,
0.225,-6.389,-5.2,4.886,-0.059111,
0.23,-6.7137,-5.2,-1.764,-0.065066,
0.235,-7.039,-5.2,-1.083,-0.062933,
0.24,-7.3723,-5.3,-2.189,-0.067288,
0.245,-7.7159,-5.3,0.084,-0.068888,
0.25,-8.0724,-5.2,0.148,-0.072711,
0.255,-8.4343,-5.3,-0.899,-0.071644,
0.26,-8.8072,-5.3,-0.64,-0.075911,
0.265,-9.1857,-5.2,4.423,-0.074933,
0.27,-9.569,-5.2,-0.215,-0.076533,
0.275,-9.9559,-5.2,3.818,-0.073777,
0.28,-10.3533,-5.3,-1.784,-0.081955,
0.285,-10.7573,-5.2,0.611,-0.0808,
0.29,-11.1699,-5.2,-3.791,-0.085155,
0.295,-11.5825,-5.3,-1.316,-0.083022,
0.3,-12.0104,-5.2,-2.672,-0.090666,
0.305,-12.4333,-5.2,-3.871,-0.085688,
0.31,-12.8685,-5.2,-1.04,-0.092177,
0.315,-13.3043,-5.2,2.41,-0.086755,
0.32,-13.7499,-5.2,-5.506,-0.087911,
0.325,-14.2009,-5.3,2.464,-0.087377,
0.33,-14.6507,-5.3,-2.145,-0.087288,
0.335,-15.1073,-5.3,-0.115,-0.0912,
0.34,-15.5626,-5.3,0.123,-0.0928,
0.345,-16.0204,-5.2,-0.279,-0.0928,
0.35,-16.4806,-5.3,-1.162,-0.093333,
0.355,-16.9444,-5.3,0.92,-0.093777,
0.36,-17.4156,-5.2,0.309,-0.095466,
0.365,-17.8905,-5.3,1.395,-0.095466,
0.37,-18.3635,-5.4,1.585,-0.093333,
0.375,-18.842,-5.3,0.269,-0.094933,
0.38,-19.323,-5.2,1.797,-0.0944,
0.385,-19.8015,-5.3,0.868,-0.094933,
0.39,-20.2849,-5.3,0.285,-0.098222,
0.395,-20.7659,-5.3,-2.522,-0.099288,
0.4,-21.2456,-5.3,-2.928,-0.097155,
0.405,-21.7296,-5.2,0.158,-0.095466,
0.41,-22.2106,-5.2,3.412,-0.095555,
0.415,-22.6915,-5.3,2.507,-0.094933,
0.42,-23.1737,-5.3,1.353,-0.097688,
0.425,-23.6534,-5.3,-1.018,-0.097066,
0.43,-24.1429,-5.3,-3.031,-0.098133,
0.435,-24.6276,-5.4,3.293,-0.096088,
0.44,-25.1195,-5.4,-2.604,-0.100355,
0.445,-25.6108,-5.4,1.501,-0.096533,
0.45,-26.107,-5.4,-1.409,-0.101422,
0.455,-26.6014,-5.4,0.552,-0.097066,
0.46,-27.0976,-5.4,-1.224,-0.098666,
0.465,-27.5951,-5.4,2.396,-0.097688,
0.47,-28.0895,-5.3,1.356,-0.097688,
0.475,-28.5875,-5.4,1.078,-0.099288,
0.48,-29.0917,-5.3,-3.316,-0.100977,
0.485,-29.5983,-5.4,0.158,-0.102044,
0.49,-30.1122,-5.3,0.611,-0.104711,
0.495,-30.6279,-5.3,0.173,-0.100355,
0.5,-31.1528,-5.3,-0.382,-0.104711,
0.505,-31.6869,-5.3,0.53,-0.106399,
0.51,-32.2179,-5.3,4.268,-0.106311,
0.515,-32.7452,-5.3,1.155,-0.102488,
0.52,-33.2726,-5.3,1.366,-0.103644,
0.525,-33.7956,-5.3,0.869,-0.104711,
0.53,-34.3157,-5.3,-1.058,-0.105866,
0.535,-34.8277,-5.3,1.411,-0.104711,
0.54,-35.3472,-5.3,2.129,-0.105333,
