Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.3161,1.1,-0.001066,
0.002,-0.3179,1.2,0.001066,
0.004,-0.3173,1.2,0.002133,
0.006,-0.3191,1.2,-0.0016,
0.008,-0.321,1.1,-0.001688,
0.01,-0.3216,1.2,0.000533,
0.012,-0.3259,1.1,-0.004355,
0.014,-0.3265,1.1,0.000533,
0.016,-0.3332,0.9,-0.004355,
0.018,-0.3545,0.4,-0.012977,
0.02,-0.3918,0.4,-0.022844,
0.022,-0.4455,0.4,-0.030399,
0.024,-0.5254,0.5,-0.040622,
0.026,-0.6121,0.5,-0.048266,
0.028,-0.7201,0.6,-0.055288,
0.03,-0.8398,0.7,-0.061866,
0.032,-0.9673,0.7,-0.065066,
0.034,-1.1089,0.8,-0.069955,
0.036,-1.2579,0.9,-0.0744,
0.038,-1.4184,1,-0.081955,
0.04,-1.5789,1,-0.0808,
0.042,-1.7461,1,-0.084622,
0.044,-1.9158,1,-0.079733,
0.046,-2.0934,1,-0.088977,
0.048,-2.2674,1,-0.087377,
0.05,-2.4487,1,-0.093333,
0.052,-2.6305,1,-0.090044,
0.054,-2.813,1,-0.090044,
0.056,-3.0065,0.9,-0.098755,
0.058,-3.1957,0.9,-0.0944,
0.06,-3.3941,0.9,-0.100888,
0.062,-3.601,0.9,-0.102577,
0.064,-3.814,0.8,-0.109599,
0.066,-4.0325,0.8,-0.110666,
0.068,-4.2651,0.8,-0.120444,
0.07,-4.5013,0.8,-0.116711,
0.072,-4.7527,0.7,-0.126399,
0.074,-5.0146,0.7,-0.135111,
0.076,-5.2831,0.7,-0.135111,
0.078,-5.5584,0.7,-0.137777,
0.08,-5.8459,0.7,-0.143288,
0.082,-6.1437,0.7,-0.148622,
0.084,-6.4532,0.8,-0.155733,
0.086,-6.776,0.7,-0.1616,
0.088,-7.1038,0.7,-0.164355,
0.09,-7.445,0.8,-0.1736,
0.092,-7.7929,0.7,-0.174666,
0.094,-8.1518,0.7,-0.181777,
0.096,-8.5229,0.7,-0.186133,
0.098,-8.9068,0.8,-0.192622,
0.1,-9.2999,0.7,-0.196977,
0.102,-9.7051,0.8,-0.202844,
0.104,-10.1177,0.8,-0.207733,
0.106,-10.5437,0.8,-0.211022,
0.108,-10.9808,0.8,-0.218666,
0.11,-11.4288,0.9,-0.225155,
0.112,-11.8847,0.8,-0.229511,
0.114,-12.3437,0.8,-0.227911,
0.116,-12.8155,0.9,-0.234933,
0.118,-13.2909,0.8,-0.238666,
0.12,-13.7688,0.8,-0.240266,
0.122,-14.2498,0.8,-0.241422,
0.124,-14.7338,0.8,-0.242488,
0.126,-15.2227,0.6,-0.245244,
0.128,-15.7183,0.6,-0.247377,
0.13,-16.2206,0.6,-0.254399,
0.132,-16.7321,0.6,-0.256088,
0.134,-17.2521,0.6,-0.262577,
0.136,-17.7837,0.6,-0.266311,
0.138,-18.327,0.6,-0.272355,
0.14,-18.8805,0.6,-0.277777,
0.142,-19.4488,0.7,-0.285955,
0.144,-20.0243,0.7,-0.288088,
0.146,-20.6145,0.7,-0.295111,
0.148,-21.2243,0.7,-0.308177,
0.15,-21.8414,0.8,-0.309866,
0.152,-22.478,0.9,-0.321777,
0.154,-23.1231,1,-0.325511,
0.156,-23.7682,1,-0.325511,
0.158,-24.4067,1,-0.319555,
0.16,-25.0451,1,-0.316266,
0.162,-25.6713,1,-0.312533,
0.164,-26.2908,0.9,-0.310844,
0.166,-26.9085,0.8,-0.307111,
0.168,-27.5176,0.7,-0.304888,
0.17,-28.1304,0.6,-0.307022,
0.172,-28.7499,0.5,-0.307555,
0.174,-29.3829,0.4,-0.316355,
0.176,-30.0231,0.4,-0.323911,
0.178,-30.6817,0.3,-0.332,
0.18,-31.3634,0.3,-0.344444,
0.182,-32.0678,0.2,-0.355377,
0.184,-32.7978,0.3,-0.364088,
0.186,-33.5589,0.5,-0.376533,
0.188,-34.3316,0.6,-0.384088,
0.19,-35.1214,0.5,-0.393866,
0.192,-35.9093,0.6,-0.3944,
0.194,-36.6961,1.1,-0.394933,
0.196,-37.4706,1.1,-0.385155,
0.198,-38.2354,1,-0.3792,
0.2,-38.9965,1.1,-0.380355,
0.202,-39.7497,1.2,-0.375466,
0.204,-40.501,1.1,-0.374311,
0.206,-41.2542,1.2,-0.376,
0.208,-42.0007,1.3,-0.372177,
0.21,-42.7496,1.5,-0.3728,
0.212,-43.4942,1.5,-0.370577,
0.214,-44.2138,1.6,-0.3624,
0.216,-44.9236,1.6,-0.354222,
0.218,-45.6115,1.6,-0.339111,
0.22,-46.2823,1.6,-0.332622,
0.222,-46.9366,1.5,-0.323911,
0.224,-47.5707,1.6,-0.314666,
0.226,-48.1921,1.5,-0.308711,
0.228,-48.8073,1.4,-0.306577,
0.23,-49.4115,1.4,-0.302133,
0.232,-50.0085,1.4,-0.2984,
0.234,-50.5975,1.3,-0.294133,
0.236,-51.184,1.3,-0.291911,
0.238,-51.7687,1.3,-0.290755,
0.24,-52.3498,1.2,-0.294044,
0.242,-52.9211,1.3,-0.286488,
0.244,-53.4905,1.2,-0.282133,
0.246,-54.0533,1.3,-0.277244,
0.248,-54.6087,1.2,-0.272888,
0.25,-55.1592,1.2,-0.273422,
0.252,-55.6957,1.2,-0.268,
0.254,-56.2237,1.2,-0.262577,
0.256,-56.7449,1.2,-0.259822,
0.258,-57.2607,1.2,-0.256088,
0.26,-57.7697,1.2,-0.254488,
0.262,-58.2732,1.3,-0.250044,
0.264,-58.7743,1.4,-0.248444,
0.266,-59.2687,1.3,-0.243555,
0.268,-59.7588,1.4,-0.245777,
0.27,-60.2355,1.4,-0.238666,
0.272,-60.7067,1.5,-0.234933,
0.274,-61.1675,1.5,-0.231111,
0.276,-61.6186,1.5,-0.225155,
0.278,-62.058,1.7,-0.216977,
0.28,-62.4841,1.5,-0.212711,
0.282,-62.8997,1.5,-0.207288,
0.284,-63.3013,1.5,-0.199111,
0.286,-63.6895,1.5,-0.193688,
0.288,-64.0563,1.4,-0.184977,
0.29,-64.4176,1.3,-0.181688,
0.292,-64.7674,1.4,-0.175288,
0.294,-65.1037,1.3,-0.168711,
0.296,-65.44,1.2,-0.167111,
0.298,-65.7537,1.2,-0.1584,
0.3,-66.0729,1.2,-0.157866,
0.302,-66.3854,1.2,-0.155644,
0.304,-66.6894,1.1,-0.1552,
0.306,-66.9921,1.1,-0.154044,
0.308,-67.2839,1.1,-0.147644,
0.31,-67.5732,1.2,-0.145422,
0.312,-67.8582,1.1,-0.144888,
0.314,-68.1371,1.2,-0.137777,
0.316,-68.4185,1.2,-0.1416,
0.318,-68.6846,1.2,-0.136177,
0.32,-68.9513,1.3,-0.130755,
0.322,-69.2107,1.2,-0.127999,
0.324,-69.4634,1.3,-0.124799,
0.326,-69.7082,1.3,-0.122666,
0.328,-69.9487,1.3,-0.123199,
0.33,-70.172,1.3,-0.108444,
0.332,-70.3979,1.4,-0.113955,
0.334,-70.6091,1.3,-0.105866,
0.336,-70.8129,1.3,-0.100355,
0.338,-71.0033,1.4,-0.092711,
