Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.3136,1.2,0.002222,
0.002,-0.3167,1.3,0.0016,
0.004,-0.3203,1.2,-0.001066,
0.006,-0.3191,1.2,0,
0.008,-0.3234,1.1,-0.002755,
0.01,-0.3258,1.1,0,
0.012,-0.3368,0.8,-0.004888,
0.014,-0.3539,0.3,-0.011377,
0.016,-0.4003,0.3,-0.022844,
0.018,-0.4674,0.3,-0.0336,
0.02,-0.5565,0.4,-0.0472,
0.022,-0.6688,0.4,-0.057511,
0.024,-0.794,0.4,-0.064088,
0.026,-0.9362,0.5,-0.069511,
0.028,-1.101,0.5,-0.083022,
0.03,-1.2774,0.6,-0.090133,
0.032,-1.4629,0.7,-0.094933,
0.034,-1.668,0.8,-0.102044,
0.036,-1.8749,0.8,-0.107999,
0.038,-2.091,0.9,-0.109599,
0.04,-2.3217,0.9,-0.115022,
0.042,-2.5506,0.9,-0.115644,
0.044,-2.7916,0.9,-0.119288,
0.046,-3.0388,0.9,-0.119911,
0.048,-3.2933,0.9,-0.126933,
0.05,-3.5546,0.9,-0.129155,
0.052,-3.825,0.9,-0.134577,
0.054,-4.099,0.8,-0.137244,
0.056,-4.3755,1.6,-0.145422,
0.058,-4.6526,1.4,-0.14,
0.06,-4.923,1.4,-0.132888,
0.062,-5.1915,1.4,-0.132888,
0.064,-5.4461,1.4,-0.124799,
0.066,-5.7012,1.5,-0.124266,
0.068,-5.9496,1.5,-0.122577,
0.07,-6.184,1.5,-0.116711,
0.072,-6.4141,1.5,-0.116088,
0.074,-6.632,1.6,-0.108533,
0.076,-6.8371,1.6,-0.100444,
0.078,-7.0342,1.6,-0.097155,
0.08,-7.2149,1.7,-0.090133,
0.082,-7.3839,1.6,-0.084088,
0.084,-7.5426,1.6,-0.0792,
0.086,-7.6861,1.7,-0.071111,
0.088,-7.8228,1.6,-0.067288,
0.09,-7.9454,1.6,-0.060711,
0.092,-8.0578,1.7,-0.052622,
0.094,-8.1542,1.7,-0.047733,
0.096,-8.2396,1.6,-0.042311,
0.098,-8.3165,1.7,-0.036888,
0.1,-8.3764,1.6,-0.029866,
0.102,-8.4264,1.6,-0.022755,
0.104,-8.4655,1.6,-0.018488,
0.106,-8.4881,1.6,-0.010933,
0.108,-8.5039,1.6,-0.006488,
0.11,-8.5143,0.9,-0.008177,
0.112,-8.5186,1,-0.004355,
0.114,-8.5314,0.9,-0.008177,
0.116,-8.5466,0.9,-0.010844,
0.118,-8.5704,0.8,-0.011377,
0.12,-8.601,0.7,-0.014666,
0.122,-8.6467,0.7,-0.024888,
0.124,-8.7011,0.6,-0.027199,
0.126,-8.7737,0.5,-0.039022,
0.128,-8.8561,0.5,-0.044533,
0.13,-8.9507,0.5,-0.049333,
0.132,-9.0691,0.5,-0.058577,
0.134,-9.1961,0.5,-0.066755,
0.136,-9.3425,0.4,-0.075911,
0.138,-9.5049,0.6,-0.081955,
0.14,-9.6801,0.5,-0.090044,
0.142,-9.8723,0.6,-0.098133,
0.144,-10.0811,0.5,-0.107999,
0.146,-10.3032,0.5,-0.115555,
0.148,-10.5376,0.6,-0.120444,
0.15,-10.7891,0.6,-0.126399,
0.152,-11.0521,0.7,-0.131288,
0.154,-11.328,0.7,-0.14,
0.156,-11.6216,0.7,-0.148088,
0.158,-11.9194,0.7,-0.148088,
0.16,-12.2356,0.7,-0.1584,
0.162,-12.5615,0.7,-0.163822,
0.164,-12.8893,0.7,-0.169244,
0.166,-13.2335,0.7,-0.171377,
0.168,-13.5863,0.6,-0.177955,
0.17,-13.9434,0.6,-0.180711,
0.172,-14.3102,0.7,-0.182844,
0.174,-14.6886,0.6,-0.1888,
0.176,-15.0762,0.5,-0.194755,
0.178,-15.4723,0.6,-0.199644,
0.18,-15.8819,0.5,-0.205688,
0.182,-16.2999,0.5,-0.209955,
0.184,-16.7363,0.5,-0.216977,
0.186,-17.1813,0.4,-0.223022,
0.188,-17.6415,0.4,-0.232177,
0.19,-18.1206,0.4,-0.240888,
0.192,-18.6089,0.5,-0.245777,
0.194,-19.1131,0.5,-0.251199,
0.196,-19.6361,0.5,-0.262577,
0.198,-20.169,0.6,-0.269155,
0.2,-20.7183,0.6,-0.278844,
0.202,-21.2902,0.7,-0.289155,
0.204,-21.8706,0.7,-0.294577,
0.206,-22.4724,0.7,-0.3016,
0.208,-23.0822,0.8,-0.307111,
0.21,-23.7047,0.9,-0.311377,
0.212,-24.3267,0.8,-0.310933,
0.214,-24.9529,0.8,-0.314133,
0.216,-25.5681,0.8,-0.311377,
0.218,-26.1846,0.7,-0.308711,
0.22,-26.8029,0.6,-0.310933,
0.222,-27.4181,0.6,-0.308177,
0.224,-28.0443,0.5,-0.3136,
0.226,-28.6779,0.3,-0.319022,
0.228,-29.3181,0.3,-0.319555,
0.23,-29.981,0.2,-0.332622,
0.232,-30.6609,0.2,-0.344,
0.234,-31.3707,0.1,-0.359111,
0.236,-32.1105,0.1,-0.373244,
0.238,-32.8783,0.2,-0.389511,
0.24,-33.6815,0.3,-0.404711,
0.242,-34.497,0.3,-0.408,
0.244,-35.3307,0.5,-0.417244,
0.246,-36.1705,0.3,-0.420444,
0.248,-37.0134,0.3,-0.422577,
0.25,-37.8606,0.4,-0.423733,
0.252,-38.7169,0.4,-0.429155,
0.254,-39.5922,0.4,-0.437866,
0.256,-40.479,0.4,-0.447022,
0.258,-41.3829,0.4,-0.454577,
0.26,-42.3113,0.5,-0.466044,
0.262,-43.2579,0.5,-0.475199,
0.264,-44.2254,0.6,-0.485599,
0.266,-45.183,0.7,-0.478488,
0.268,-46.148,0.8,-0.481777,
0.27,-47.1087,0.7,-0.481244,
0.272,-48.0687,0.7,-0.482311,
0.274,-49.0386,0.7,-0.486133,
0.276,-50.0152,1.3,-0.499199,
0.278,-50.9935,1.3,-0.490399,
0.28,-51.9738,1.4,-0.489422,
0.282,-52.9516,1.5,-0.486133,
0.284,-53.9293,1.6,-0.480622,
0.286,-54.8845,1.5,-0.476355,
0.288,-55.819,1.5,-0.464444,
0.29,-56.7321,1.5,-0.453599,
0.292,-57.6293,1.5,-0.445955,
0.294,-58.5167,1.4,-0.441066,
0.296,-59.4024,1.5,-0.441155,
0.298,-60.2782,1.7,-0.435644,
0.3,-61.148,1.7,-0.432977,
0.302,-62.0147,1.7,-0.434577,
0.304,-62.8661,1.8,-0.424266,
0.306,-63.6919,1.9,-0.408,
0.308,-64.4933,1.9,-0.3928,
0.31,-65.2684,1.8,-0.384088,
0.312,-66.01,1.7,-0.369955,
0.314,-66.7272,1.7,-0.357511,
0.316,-67.4279,1.6,-0.346133,
0.318,-68.1133,1.5,-0.341244,
0.32,-68.7908,1.5,-0.336355,
0.322,-69.464,1.4,-0.333688,
0.324,-70.1268,1.4,-0.3304,
0.326,-70.7854,1.3,-0.329333,
0.328,-71.4458,1.2,-0.329333,
0.33,-72.0946,1.3,-0.325511,
0.332,-72.7337,1.3,-0.315822,
