Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.1575,1.1,0,
0.002,-0.1538,1.2,0.000533,
0.004,-0.1581,1.1,-0.002222,
0.006,-0.1556,1.1,-0.002133,
0.008,-0.1587,1.1,0,
0.01,-0.1575,1.1,0.000533,
0.012,-0.1593,1.1,0.000533,
0.014,-0.1593,1.2,-0.003288,
0.016,-0.1593,1.1,0.001066,
0.018,-0.1581,1.1,0.000533,
0.02,-0.1599,1.1,0.000533,
0.022,-0.1587,1.1,-0.000533,
0.024,-0.1611,1.1,-0.0016,
0.026,-0.1599,1.1,0.002222,
0.028,-0.163,1.1,-0.002755,
0.03,-0.1672,1.1,-0.004266,
0.032,-0.1758,1.1,-0.007022,
0.034,-0.1776,1.1,-0.0032,
0.036,-0.177,1.1,-0.000533,
0.038,-0.1788,1.1,0.0016,
0.04,-0.183,1,-0.002666,
0.042,-0.1909,1,-0.005422,
0.044,-0.2062,0.6,-0.008088,
0.046,-0.2325,0.5,-0.014666,
0.048,-0.2776,0.5,-0.026044,
0.05,-0.3387,0.6,-0.030933,
0.052,-0.4125,0.5,-0.042311,
0.054,-0.501,0.7,-0.043911,
0.056,-0.6042,0.7,-0.054844,
0.058,-0.714,0.7,-0.058044,
0.06,-0.8355,0.7,-0.062933,
0.062,-0.9612,0.8,-0.064533,
0.064,-1.0998,0.9,-0.067822,
0.066,-1.2438,1,-0.071111,
0.068,-1.3848,1,-0.073244,
0.07,-1.5282,1.1,-0.073777,
0.072,-1.6753,1.1,-0.074311,
0.074,-1.82,1.2,-0.076,
0.076,-1.9646,1.2,-0.075377,
0.078,-2.0983,1.1,-0.069422,
0.08,-2.2399,1.1,-0.065688,
0.082,-2.3833,1.1,-0.067822,
0.084,-2.5262,1.1,-0.073244,
0.086,-2.6708,1,-0.076533,
0.088,-2.8155,1,-0.072711,
0.09,-2.9571,1,-0.0744,
0.092,-3.1096,1,-0.071022,
0.094,-3.2628,1,-0.0792,
0.096,-3.4215,1,-0.078133,
0.098,-3.5906,0.9,-0.083022,
0.1,-3.7621,0.9,-0.088977,
0.102,-3.9379,0.9,-0.091111,
0.104,-4.1155,0.9,-0.090044,
0.106,-4.3017,0.9,-0.093866,
0.108,-4.4933,1,-0.093333,
0.11,-4.6917,0.9,-0.098755,
0.112,-4.8925,1,-0.103111,
0.114,-5.1061,0.9,-0.106311,
0.116,-5.3173,0.9,-0.108533,
0.118,-5.5315,0.9,-0.106311,
0.12,-5.7586,0.8,-0.111199,
0.122,-5.9881,0.9,-0.113422,
0.124,-6.2279,1,-0.120977,
0.126,-6.4672,1,-0.120444,
0.128,-6.7119,1,-0.122577,
0.13,-6.9616,0.9,-0.125333,
0.132,-7.2167,0.9,-0.128533,
0.134,-7.4724,1,-0.129066,
0.136,-7.7343,1,-0.129155,
0.138,-7.9986,1,-0.128622,
0.14,-8.2696,1,-0.136177,
0.142,-8.5479,1,-0.1384,
0.144,-8.8256,0.9,-0.139466,
0.146,-9.1125,1,-0.143288,
0.148,-9.403,1,-0.145955,
0.15,-9.6953,0.9,-0.1448,
0.152,-9.9999,0.9,-0.151377,
0.154,-10.3045,0.9,-0.154666,
0.156,-10.6164,1,-0.157333,
0.158,-10.9331,0.9,-0.1584,
0.16,-11.2542,0.9,-0.160088,
0.162,-11.5832,1,-0.163911,
0.164,-11.9158,0.9,-0.169244,
0.166,-12.2539,0.9,-0.167644,
0.168,-12.5951,0.9,-0.170844,
0.17,-12.9394,1,-0.174222,
0.172,-13.2915,0.9,-0.175733,
0.174,-13.64,0.9,-0.1768,
